,,,,,,,,,,,,,,,,,,,
,Test Case 수,,TC Total 수,Pass,Fail,Block,NI,Incomplete,실 시나리오 카운트,,,,,,,,,,
,count,212,424,0,0,0,5,419,212,,,,,,,Progress Rate,1.89%,0.47%,
,progress,,100.00%,0.00%,0.00%,0.00%,1.18%,98.82%,,,,,,,,Pass Rate,0.00%,0.00%,
,,,,,,,,,,,,,,,,,,,
,[ WEB ] TestCase,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,No,1 Depth,2 Depth,3 Depth,4 Depth,5 Depth,Test DATA,Pre-Condition,Test Procedure *옵션,Expected Result,JIRA,OS,A/W,Priority,Final Result,Final Result,MW,PCW,Comment
,,,,,,,,,,,OS,,,,MW,PCW,,,
,,,,,,,,,,,단말,,,,,,,,
,,,,,,,,,,,이름,,,,,,,,
,1,공통,서비스 접속,,,,,,1. qa.tapas.io 도메인 진입,"1. 타파스 웹 정상 진입된다.
- 하기 구성 노출 확인
- 대메뉴 : Tapas 로고 + Home, Comics, Novels, Community, Mature, More
- 미로그인 : 검색 / 프로필 버튼
- 로그인 검색 / 인박스 / 라이브러리 /프로필 버튼",,공통,W,P0,,,,,
,2,공통,회원 가입,이메일,,,,,"1. GNB > Login 클릭
2. [Sign up] 버튼 클릭
3. 신규 Email 계정 입력 > [Sign up] 클릭
4. 성인 기준으로 연령 세팅 
5. [Submit] 버튼 클릭

[Mweb]
1. GNB > Profile 아이콘 클릭
2. [sign up] 버튼 클릭
3. 신규 Email 계정 입력 > [Sign up] 클릭
4. 성인 기준으로 연령 세팅 
5. [Submit] 버튼 클릭","1. 로그인 유도 창으로 이동된다.
2. Email 회원가입 유도 창으로 이동된다.
3. 연령 인증 화면이 노출된다.
4. 세팅한 생년월일이 필드에 반영되어 노출된다.
5. 회원가입 완료되며  유저홈 화면으로 이동된다.

[Mweb]
1. 로그인 유도 창으로 이동된다.
2. Email 회원가입 유도 창으로 이동된다.
3. 연령 인증 화면이 노출된다.
4. 세팅한 생년월일이 필드에 반영되어 노출된다.
5. 회원가입 완료되며  Edit profile  화면으로 이동된다.",,공통,W,P0,,,,,
,3,공통,회원 가입,Facebook,,,,,"1. GNB > Login 클릭
2. [Or log in with Facebook or Google] 클릭
3. {Continue with Facebook} 버튼 클릭
4. 신규 페이스북 계정 입력
5. 성인 기준으로 연령 세팅
6. [Submit] 버튼 클릭

[Mweb]
1. GNB > Profile 아이콘 클릭
2. {Continue with Facebook} 버튼 클릭
3. 신규 페이스북 계정 입력
4. 성인 기준으로 연령 세팅
5. [Submit] 버튼 클릭","1. 로그인 유도 창으로 이동된다.
2. 구글 / 페이스북 로그인 유도 창으로 이동된다.
3. 페이스북 로그인 팝업창이 열린다.
4. 연령 인증 화면이 노출된다.
5. 세팅한 생년월일이 필드에 반영되어 노출된다.
6. 회원가입 완료되며  Edit profile  화면으로 이동된다.

[Mweb]
1. 로그인 유도 창으로 이동된다.
2. 페이스북 로그인 팝업창이 열린다.
3. 연령 인증 화면이 노출된다.
4. 세팅한 생년월일이 필드에 반영되어 노출된다.
5. 회원가입 완료되며 Edit profile 화면으로 이동된다.",,공통,W,P0,,,,,
,4,공통,회원 가입,Google,,,,,"1. GNB > Login 클릭
2. [Or log in with Facebook or Google] 클릭
3. {Continue with Google}  버튼 클릭
4. 신규 구글 계정 입력
5. 성인 기준으로 연령 세팅 
6. [Submit] 버튼 클릭

[Mweb]
1. GNB > Profile 아이콘 클릭
2. {Continue with Google} 버튼 클릭
3. 신규 구글 계정 입력
4. 성인 기준으로 연령 세팅
5. [Submit] 버튼 클릭","1. 로그인 유도 창으로 이동된다.
2. 구글 / 페이스북 로그인 유도 창으로 이동된다.
3. 구글 로그인 팝업창이 열린다.
4. 연령 인증 화면이 노출된다.
5. 세팅한 생년월일이 필드에 반영되어 노출된다.
6. 회원가입 완료되며  Edit profile  화면으로 이동된다.

[Mweb]
1. 로그인 유도 창으로 이동된다.
2. 구글 로그인 팝업창이 열린다.
3. 연령 인증 화면이 노출된다.
4. 세팅한 생년월일이 필드에 반영되어 노출된다.
5. 회원가입 완료되며 Edit profile 화면으로 이동된다.",,공통,W,P0,,,,,
